species,plant,pcmass,fertilized,seeds,ovulecnt
ferruginea,2,0,70,52,330
ferruginea,2,0.2,321,188,461
ferruginea,2,0.484848485,351,278,435
ferruginea,2,0.736842105,386,301,430
ferruginea,2,1,367,342,419
ferruginea,3,0,185,39,470
ferruginea,3,0.176470588,160,62,440
ferruginea,3,0.545454545,321,263,421
ferruginea,3,0.8,360,258,441
ferruginea,3,1,232,230,469
ferruginea,4,0,93,67,433
ferruginea,4,0.27027027,230,125,470
ferruginea,4,0.428571429,331,216,458
ferruginea,4,0.692307692,314,314,443
ferruginea,4,1,418,414,438
ferruginea,5,0,112,88,436
ferruginea,5,0.255319149,181,149,444
ferruginea,5,0.483870968,351,255,508
ferruginea,5,0.743589744,333,313,532
ferruginea,5,1,231,231,417
ferruginea,6,0.522727273,349,348,458
ferruginea,6,1,290,290,420
ferruginea,7,0.228571429,207,75,457
ferruginea,7,0.756756757,301,221,495
ferruginea,8,0,393,73,428
ferruginea,8,0.25,346,158,427
ferruginea,8,0.511627907,350,222,418
ferruginea,8,0.755555556,407,272,422
ferruginea,8,1,407,332,431
ferruginea,9,0,48,47,441
ferruginea,9,0.230769231,206,74,426
ferruginea,9,0.483870968,301,141,461
ferruginea,9,0.483870968,266,240,400
ferruginea,9,0.743589744,398,208,436
ferruginea,10,0,67,8,417
ferruginea,10,0.228571429,336,118,497
ferruginea,10,0.526315789,239,197,468
ferruginea,10,0.731707317,333,235,435
ferruginea,11,0,160,156,448
ferruginea,11,0,428,28,432
ferruginea,11,0.547619048,245,245,450
ferruginea,11,0.72972973,346,279,454
ferruginea,11,1,350,350,426
ferruginea,12,0,414,100,416
ferruginea,12,0.268292683,447,97,447
ferruginea,12,0.517241379,423,137,424
ferruginea,13,0.228571429,417,67,419
ferruginea,13,0.513513514,429,173,434
ferruginea,13,0.705882353,452,338,457
ferruginea,13,1,390,364,390
ferruginea,14,0,296,38,379
ferruginea,14,0.222222222,205,87,425
ferruginea,14,0.53125,150,150,430
ferruginea,14,0.757575758,360,286,503
ferruginea,14,1,285,272,445
ferruginea,15,0.236842105,122,57,432
ferruginea,15,0.515151515,169,130,413
ferruginea,15,0.75,196,193,450
ferruginea,15,1,333,143,447
ferruginea,17,0.307692308,160,158,452
ferruginea,17,0.486486486,248,246,491
ferruginea,18,0,81,10,448
ferruginea,18,0.243902439,307,97,471
ferruginea,18,0.5,151,151,490
ferruginea,18,0.756097561,308,305,502
ferruginea,18,1,262,202,440
ferruginea,19,0,388,46,415
ferruginea,19,0.268292683,422,72,436
ferruginea,19,0.5,327,117,462
ferruginea,19,0.76,399,129,422
ferruginea,19,1,401,129,428
ferruginea,21,0,159,10,469
ferruginea,21,0.512820513,376,63,410
ferruginea,21,1,293,174,443
ferruginea,22,0,126,8,436
ferruginea,22,0.487804878,381,178,431
ferruginea,22,0.75,413,384,520
ferruginea,25,0,92,30,446
ferruginea,25,0.292682927,422,189,439
ferruginea,25,0.5,343,297,452
ferruginea,25,0.777777778,338,337,470
ferruginea,25,1,407,332,478
