"plot"	"dbh"	"height"	"sex"	"dead"	"dbh.c"
"2"	38.85	37.8	"female"	0	13.85
"4"	26.05	38.1	"female"	0	1.05
"5"	42.66	50.2	"female"	0	17.66
"2"	20.72	30.1	"female"	0	-4.28
"4"	21.83	34	"female"	0	-3.17
"4"	8.23	21.9	"male"	0	-16.77
"1"	20.35	18.2	"female"	0	-4.65
"5"	30.78	35.8	"male"	0	5.78
"1"	38.95	35.5	"male"	0	13.95
"2"	41.81	41	"female"	0	16.81
"5"	7.5	20.4	"female"	0	-17.5
"1"	47.29	35.6	"male"	1	22.29
"8"	21.34	29	"female"	0	-3.66
"5"	35.62	42.2	"female"	0	10.62
"1"	31.16	26.2	"female"	0	6.16
"4"	42.12	42.5	"female"	0	17.12
"1"	31.15	25.8	"female"	0	6.15
"1"	30.25	24.6	"female"	0	5.25
"2"	17.29	31.1	"male"	0	-7.71
"1"	7.07	11.1	"female"	0	-17.93
"1"	10.21	15.6	"female"	0	-14.79
"1"	19.24	16	"female"	0	-5.76
"1"	35.77	30	"female"	0	10.77
"4"	35.61	46.6	"female"	0	10.61
"1"	48.9	40.3	"male"	0	23.9
"1"	16.94	20.5	"male"	0	-8.06
"3"	45.4	42.2	"female"	0	20.4
"6"	27.12	38.4	"female"	0	2.12
"1"	43.06	36.5	"female"	0	18.06
"1"	31.49	29.2	"female"	0	6.49
"3"	49.37	42.8	"male"	1	24.37
"2"	24.25	36.9	"male"	0	-0.75
"1"	34.54	30.3	"female"	0	9.54
"2"	38.69	40.2	"male"	0	13.69
"2"	39.66	38.9	"female"	0	14.66
"2"	15.5	26.6	"male"	0	-9.5
"1"	24.04	20.4	"male"	0	-0.960000000000001
"5"	44.68	46.5	"male"	0	19.68
"1"	13.56	18.7	"male"	0	-11.44
"3"	27.14	35.7	"male"	0	2.14
"3"	30.4	33.8	"male"	1	5.4
"3"	14.75	25.8	"female"	0	-10.25
"1"	36.44	31.5	"male"	0	11.44
"1"	21.63	17.7	"female"	0	-3.37
"3"	12.76	22.2	"female"	0	-12.24
"4"	46.41	46	"male"	0	21.41
"5"	40.99	47.5	"male"	0	15.99
"4"	29.54	38.5	"male"	0	4.54
"5"	46.03	51	"female"	0	21.03
"5"	12.51	24.8	"male"	0	-12.49
"1"	41.7	32.4	"male"	0	16.7
"2"	45.01	40.6	"female"	0	20.01
"1"	20.38	17.8	"female"	0	-4.62
"1"	32.18	25.4	"female"	0	7.18
"1"	25.72	21.8	"male"	0	0.719999999999999
"5"	21.68	29.3	"male"	0	-3.32
"4"	21.72	32.6	"female"	0	-3.28
"1"	49.27	35.5	"female"	0	24.27
"1"	38.73	30.9	"male"	0	13.73
"1"	37.14	31.5	"female"	0	12.14
"5"	23.08	27.8	"male"	0	-1.92
"2"	27.14	34.5	"male"	1	2.14
"4"	20.2	29.8	"female"	0	-4.8
"6"	15.21	32.6	"female"	0	-9.79
"6"	33.94	38.5	"female"	0	8.94
"4"	9.44	22.1	"male"	0	-15.56
"5"	38.15	37.5	"female"	0	13.15
"1"	26.46	24.9	"female"	0	1.46
"5"	17.7	26	"female"	0	-7.3
"1"	27.9	23.9	"male"	0	2.9
"1"	33.99	26.5	"male"	0	8.99
"2"	7.25	23.4	"female"	0	-17.75
"1"	48.29	38.2	"male"	0	23.29
"2"	24.17	33.5	"female"	0	-0.829999999999998
"1"	38.71	29.7	"female"	0	13.71
"3"	22.25	30.4	"female"	0	-2.75
"5"	8.14	25	"female"	0	-16.86
"2"	42.32	42.1	"male"	0	17.32
"3"	9.66	18.9	"female"	1	-15.34
"5"	34.87	45.2	"male"	0	9.87
"6"	41.52	40.6	"female"	0	16.52
"5"	17.71	28.2	"female"	0	-7.29
"4"	9.34	20	"female"	1	-15.66
"6"	38.41	39.8	"male"	0	13.41
"1"	49.15	40.4	"male"	0	24.15
"2"	29.41	31.1	"male"	0	4.41
"1"	21.12	20.4	"female"	0	-3.88
"1"	32.66	31.2	"male"	0	7.66
"6"	15.26	29.9	"female"	0	-9.74
"1"	14.26	16.4	"male"	0	-10.74
"1"	29.72	21.8	"female"	0	4.72
"2"	29.71	29.6	"female"	0	4.71
"4"	18.03	35.2	"male"	0	-6.97
"7"	25.84	29.6	"female"	0	0.84
"3"	33.48	34.9	"male"	0	8.48
"5"	39.24	45.4	"female"	0	14.24
"2"	17.25	27.1	"male"	0	-7.75
"6"	14.25	23.7	"male"	0	-10.75
"4"	14.33	26.2	"female"	0	-10.67
"1"	28.3	26.1	"female"	0	3.3
"4"	33.55	38.5	"male"	0	8.55
"4"	7.8	20.8	"male"	0	-17.2
"1"	30.34	27.5	"male"	0	5.34
"3"	21.37	33.5	"male"	0	-3.63
"4"	28.06	37.5	"male"	0	3.06
"3"	5.74	23.9	"female"	0	-19.26
"1"	48.82	36.2	"female"	0	23.82
"4"	7.75	21	"female"	0	-17.25
"7"	24.99	28.7	"male"	0	-0.0100000000000016
"4"	18.45	25.8	"female"	0	-6.55
"3"	22.14	27.6	"female"	0	-2.86
"5"	7.67	24.3	"female"	0	-17.33
"2"	41.36	43.2	"female"	0	16.36
"3"	23.35	32.1	"female"	0	-1.65
"1"	26.35	24.2	"female"	0	1.35
"2"	25.76	30.1	"female"	0	0.760000000000002
"3"	6.31	18.1	"male"	0	-18.69
"4"	37.33	35.8	"female"	0	12.33
"1"	7.02	16.6	"male"	0	-17.98
"4"	41.66	44.8	"female"	0	16.66
"1"	47.99	38.6	"male"	0	22.99
"1"	30.87	29.2	"male"	0	5.87
"4"	7.75	24.3	"male"	0	-17.25
"1"	42.6	33.5	"male"	0	17.6
"5"	48.86	49	"female"	0	23.86
"2"	39.03	43.4	"male"	0	14.03
"1"	16.96	10.2	"male"	0	-8.04
"1"	34.01	26	"female"	0	9.01
"1"	19.33	19.1	"male"	0	-5.67
"1"	36.92	28.9	"female"	0	11.92
"2"	37.98	34.5	"male"	0	12.98
"2"	45.75	42.9	"male"	0	20.75
"3"	40.94	38.5	"female"	0	15.94
"1"	5.68	14.2	"male"	0	-19.32
"2"	44.17	43.5	"male"	0	19.17
"5"	29.53	36.2	"female"	0	4.53
"6"	6.3	18.3	"female"	0	-18.7
"9"	25.05	34	"female"	0	0.0500000000000007
"2"	42.11	40	"female"	0	17.11
"2"	7.95	23.3	"male"	0	-17.05
"2"	16.34	24	"male"	0	-8.66
"3"	32.6	35.4	"male"	0	7.6
"5"	13.53	25.3	"male"	0	-11.47
"4"	14.08	31.3	"female"	0	-10.92
"7"	12.37	21.8	"female"	0	-12.63
"2"	6.79	21.6	"male"	0	-18.21
"1"	44.89	35.2	"male"	0	19.89
"1"	5.12	8.8	"female"	0	-19.88
"4"	47.72	45.4	"female"	0	22.72
"3"	8.1	22.1	"male"	0	-16.9
"2"	34.92	43	"male"	0	9.92
"2"	6.73	19.3	"male"	0	-18.27
"2"	42.91	37.5	"male"	0	17.91
"1"	24.59	20	"female"	0	-0.41
"1"	27.3	25.8	"female"	0	2.3
"1"	17.58	17.4	"female"	0	-7.42
"1"	30.02	23.1	"female"	0	5.02
"2"	29.14	30.1	"male"	0	4.14
"2"	32.58	37.7	"female"	0	7.58
"3"	28.3	36.1	"male"	0	3.3
"2"	26.66	34	"male"	0	1.66
"5"	14.93	28.1	"female"	0	-10.07
"1"	29.91	28.6	"female"	0	4.91
"2"	25.2	32.8	"male"	0	0.199999999999999
"2"	30.93	35.8	"female"	0	5.93
"1"	9.25	12.2	"female"	0	-15.75
"2"	6.68	15.6	"female"	0	-18.32
"6"	35.65	38.3	"female"	0	10.65
"1"	35.12	31.2	"male"	0	10.12
"3"	29.98	32.9	"female"	0	4.98
"1"	20.6	20.3	"male"	0	-4.4
"4"	40.91	48	"male"	0	15.91
"3"	43.97	46.2	"male"	0	18.97
"1"	19.61	17.9	"male"	0	-5.39
"3"	43.05	39.9	"female"	0	18.05
"6"	49.69	51.1	"male"	0	24.69
"1"	25.62	19.5	"female"	0	0.620000000000001
"3"	46.88	44.5	"female"	0	21.88
"1"	33.23	27.4	"female"	0	8.23
"3"	10.74	22.8	"male"	0	-14.26
"5"	40.51	42.5	"female"	0	15.51
"2"	11.51	22.5	"male"	0	-13.49
"4"	31.2	38.9	"male"	0	6.2
"5"	42.97	45.1	"male"	0	17.97
"1"	42.18	33.8	"male"	0	17.18
"2"	47.1	43	"female"	1	22.1
"3"	49.94	48.6	"male"	0	24.94
"5"	9.98	30.5	"male"	0	-15.02
"1"	34.79	27.3	"female"	0	9.79
"2"	20.92	28.2	"male"	0	-4.08
"2"	20.32	26	"male"	0	-4.68
"2"	31.52	33.4	"female"	0	6.52
"2"	37.86	33.2	"female"	0	12.86
"2"	48.32	43.7	"male"	0	23.32
"1"	35.07	31.2	"male"	0	10.07
"1"	19.62	17	"female"	0	-5.38
"3"	18.47	27.8	"male"	0	-6.53
"1"	35.98	27	"female"	0	10.98
"2"	35.29	39.6	"male"	0	10.29
"9"	17.11	29.1	"female"	0	-7.89
"4"	11.99	25.7	"male"	0	-13.01
"2"	8.39	19.5	"female"	0	-16.61
"1"	39.9	29.2	"female"	0	14.9
"2"	35.85	38	"male"	0	10.85
"1"	37.1	30.5	"female"	0	12.1
"3"	47.25	41.7	"male"	0	22.25
"1"	32.42	35.6	"female"	0	7.42
"1"	42.31	34.8	"female"	0	17.31
"1"	49.98	34.4	"female"	0	24.98
"7"	36.99	39.4	"male"	0	11.99
"5"	29.08	34.7	"male"	0	4.08
"2"	12.7	24.3	"male"	0	-12.3
"5"	14.64	28.2	"male"	0	-10.36
"1"	27.14	26.3	"female"	0	2.14
"1"	6.72	11.4	"female"	0	-18.28
"1"	27.78	25.7	"female"	0	2.78
"1"	29.66	19.2	"male"	0	4.66
"1"	48.6	37.6	"female"	0	23.6
