class,age,sex,survived
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
