"","Class","Sex","Age","No","Yes"
"1","1st","Female","Adult",4,140
"2","1st","Female","Child",0,1
"3","1st","Male","Adult",118,57
"4","1st","Male","Child",0,5
"5","2nd","Female","Adult",13,80
"6","2nd","Female","Child",0,13
"7","2nd","Male","Adult",154,14
"8","2nd","Male","Child",0,11
"9","3rd","Female","Adult",89,76
"10","3rd","Female","Child",17,14
"11","3rd","Male","Adult",387,75
"12","3rd","Male","Child",35,13
"13","Crew","Female","Adult",3,20
"14","Crew","Female","Child",0,0
"15","Crew","Male","Adult",670,192
"16","Crew","Male","Child",0,0
