Survived,Died,Stress
7,3,0.4523368254303932
10,0,0.6215083198621869
2,8,-0.997426207177341
10,0,0.7215890260413289
0,10,0.5583943221718073
1,9,-0.21080783428624272
1,9,0.8833385417237878
0,10,-0.375451382715255
0,10,-0.38483658991754055
10,0,0.6928118742071092
5,5,-0.463350972160697
5,5,-0.20539981592446566
0,10,-0.8234429033473134
1,9,-0.8119091605767608
0,10,0.5581588712520897
9,1,0.9367530830204487
10,0,0.2581988708116114
5,5,0.3217665026895702
0,10,-0.035211709793657064
0,10,0.5258048679679632
0,10,-0.47602969454601407
7,3,-0.1536733745597303
5,5,-0.05523543618619442
3,7,0.4794548754580319
8,2,0.23341995431110263
0,10,-0.288043737411499
5,5,-0.9426421211101115
9,1,0.32404992124065757
2,8,-0.9005170869641006
0,10,-0.2595337354578078
2,8,-0.9246627036482096
0,10,-0.8653190759941936
7,3,0.027875130530446768
6,4,-0.32292062183842063
0,10,-0.37907967483624816
0,10,-0.7484236173331738
5,5,0.45651066675782204
0,10,-0.9908265136182308
3,7,-0.2844144217669964
4,6,-0.01287161186337471
4,6,0.13336507277563214
2,8,-0.5764073906466365
7,3,0.42902942560613155
2,8,0.11672471417114139
2,8,-0.12371518509462476
10,0,-0.6428262549452484
4,6,-0.5979603580199182
4,6,0.1463548387400806
0,10,0.4156312053091824
0,10,-0.4731905972585082
